ID,sex,svl,mass,fat,specimen
24Sep14.03,F,262,12374,1504,FRESH
527,M,262.5,12020,784,NA
864,F,263,12470,1272,NA
1012,M,263,14000,1142,NA
1155,M,266,14630,1660,NA
341,M,266.5,12230,874,NA
869,F,267,13680,1542,NA
854,F,270,16010,1750,NA
876,F,270,14750,1438,NA
1662,M,270,14270,1260,NA
848,F,274,15200,1712,NA
524,M,274.5,10320,458,NA
1887,F,275,20430,3014,NA
867,F,276,14470,1450,NA
1677,F,276,16120,1604,NA
127,F,277,20000,1658,NA
126,M,279,11680,1052,NA
380,F,280,13970,1582,NA
858,F,281,14880,1942,NA
844,F,282,15570,1678,NA
1653,F,282,22040,2880,NA
552,F,284,16610,1700,NA
1678,F,284,22960,2584,NA
14Jan14.01,M,285,27000,3230,FROZEN
347,M,286,14290,1210,NA
879,F,286,11110,1154,NA
224,M,289,15240,991,NA
731,F,291,12870,574,NA
824,F,291,16680,1598,NA
1848,M,295.5,18370,2622,NA
121,M,297.5,16200,1230,NA
1193,M,299,13990,714,NA
1910,F,299.5,17440,2688,NA
1139,M,306,16720,1170,NA
195,M,306.5,19290,1462,NA
378,F,311,18650,2256,NA
1932,F,312,26670,4380,NA
319,M,317,17830,806,NA
355,F,327,23700,3146,NA
927,F,329,24020,2756,NA
1915,M,330,32600,4374,NA
1333,F,335,23340,2840,NA
1822,M,347,29200,2740,NA
815,F,357,23420,1418,NA
841,F,367,31750,3656,NA
871,F,376,38280,3156,NA
1030,F,381,43910,4002,NA
1203,F,384.5,34540,3500,NA
1644,F,405.5,41660,5688,NA
1879,F,409,49900,2988,NA
1575,F,416,55260,4618,NA
539,F,422,49350,6818,NA
2225,F,482,75500,8406,NA
